booking_id,customer_id,hotel_id,room_id,booking_date,check_in,check_out,stay_duration,adults,children,booking_channel,booking_status,room_type,room_price_per_night,discount_rate,discount_amount,tax_amount,total_amount,realized_revenue
43,3129,15,371,2026-02-09,2026-03-02,2026-03-04,2,2,0,Booking.com,No-show,Executive,6495.82,0.1,1299.16,1403.1,13095.57,0.0
44,2038,3,59,2024-09-14,2024-09-19,2024-09-20,1,3,0,Direct,Completed,Deluxe,7290.17,0.15,1093.53,743.6,6940.24,6940.24
45,9894,9,222,2026-01-12,2026-01-17,2026-01-20,3,3,1,Direct,Completed,Executive,7575.17,0.0,0.0,2727.06,25452.57,25452.57
46,9225,9,215,2024-08-14,2024-08-15,2024-08-20,5,4,0,Website,Completed,Deluxe,6645.72,0.1,3322.86,3588.69,33494.43,33494.43
47,5416,17,429,2024-07-16,2024-09-14,2024-09-20,6,2,1,Website,Completed,Deluxe,5920.53,0.0,0.0,4262.78,39785.96,39785.96
48,8552,7,173,2025-01-15,2025-01-18,2025-01-25,7,2,0,Booking.com,Completed,Standard,3533.3,0.0,0.0,2967.97,27701.07,27701.07
49,3813,12,310,2026-03-21,2026-03-31,2026-04-03,3,1,0,Website,Completed,Suite,13526.62,0.05,2028.99,4626.1,43176.97,43176.97
50,9321,12,312,2024-10-17,2024-12-01,2024-12-02,1,2,0,Website,Cancelled,Deluxe,6805.46,0.0,0.0,816.66,7622.12,0.0
51,5549,1,23,2024-12-16,2024-12-19,2024-12-21,2,2,1,MakeMyTrip,Completed,Deluxe,5350.08,0.05,535.01,1219.82,11384.97,11384.97
52,4472,3,70,2025-12-14,2025-12-21,2025-12-24,3,2,0,Corporate,Completed,Suite,12459.35,0.1,3737.81,4036.83,37677.07,37677.07
53,3778,17,436,2026-04-07,2026-04-17,2026-04-24,7,4,0,Corporate,Completed,Deluxe,5594.97,0.2,7832.96,3759.82,35091.65,35091.65
54,8221,8,187,2025-05-10,2025-05-24,2025-05-25,1,3,1,Website,Completed,Deluxe,7170.7,0.0,0.0,860.48,8031.18,8031.18
55,2752,2,46,2025-07-15,2025-07-20,2025-07-21,1,2,0,Corporate,Completed,Deluxe,7813.51,0.0,0.0,937.62,8751.13,8751.13
56,2451,14,368,2026-01-11,2026-01-12,2026-01-13,1,2,1,Website,Completed,Standard,3950.6,0.0,0.0,474.07,4424.67,4424.67
57,1124,10,265,2024-01-26,2024-02-09,2024-02-12,3,4,2,Booking.com,Completed,Standard,4600.31,0.05,690.05,1573.31,14684.19,14684.19
58,8072,1,9,2026-05-08,2026-05-29,2026-05-30,1,2,2,Booking.com,Cancelled,Standard,4361.95,0.0,0.0,523.43,4885.38,0.0
59,3848,10,260,2025-08-25,2025-09-24,2025-09-26,2,4,1,Booking.com,Confirmed,Deluxe,6963.01,0.05,696.3,1587.57,14817.29,14817.29
60,4528,4,103,2025-01-14,2025-01-28,2025-02-01,4,2,0,Website,Cancelled,Standard,4367.91,0.0,0.0,2096.6,19568.24,0.0
61,4310,10,250,2026-06-09,2026-06-11,2026-06-14,3,3,2,MakeMyTrip,Completed,Standard,4946.26,0.05,741.94,1691.62,15788.46,15788.46
62,748,19,476,2024-11-14,2024-11-19,2024-11-23,4,4,0,Website,Completed,Standard,4871.87,0.1,1948.75,2104.65,19643.38,19643.38
63,4433,15,374,2026-06-18,2026-06-21,2026-06-28,7,2,0,Website,Completed,Executive,6145.14,0.0,0.0,5161.92,48177.9,48177.9
64,9014,10,258,2024-08-25,2024-08-26,2024-08-27,1,2,0,MakeMyTrip,Completed,Suite,12789.46,0.0,0.0,1534.74,14324.2,14324.2
65,7401,13,321,2024-11-11,2024-12-02,2024-12-04,2,1,2,Expedia,Completed,Deluxe,6762.53,0.15,2028.76,1379.56,12875.86,12875.86
66,6106,7,156,2025-08-23,2025-08-25,2025-08-27,2,3,0,Corporate,Completed,Standard,3621.95,0.0,0.0,869.27,8113.17,8113.17
67,9669,17,431,2025-11-14,2025-11-17,2025-11-23,6,2,1,Direct,No-show,Deluxe,5707.02,0.0,0.0,4109.05,38351.17,0.0
68,7330,8,201,2026-03-31,2026-04-07,2026-04-11,4,3,0,Booking.com,Completed,Deluxe,7230.34,0.05,1446.07,3297.04,30772.33,30772.33
69,3232,16,394,2025-09-16,2025-11-15,2025-11-16,1,3,0,MakeMyTrip,Cancelled,Standard,3532.48,0.0,0.0,423.9,3956.38,0.0
70,3945,14,360,2024-07-28,2024-09-26,2024-09-28,2,2,0,Booking.com,No-show,Suite,9698.33,0.0,0.0,2327.6,21724.26,0.0
71,861,9,210,2026-04-11,2026-05-02,2026-05-03,1,4,0,Expedia,Completed,Deluxe,6281.72,0.05,314.09,716.12,6683.75,6683.75
72,4276,5,126,2024-10-16,2024-10-23,2024-10-26,3,2,0,Direct,Confirmed,Deluxe,5234.67,0.05,785.2,1790.26,16709.07,16709.07
73,8338,12,295,2024-02-13,2024-02-20,2024-02-27,7,3,1,Website,Completed,Standard,5367.66,0.05,1878.68,4283.39,39978.33,39978.33
74,5459,7,171,2024-01-05,2024-01-26,2024-01-29,3,2,0,Website,Confirmed,Deluxe,5220.89,0.0,0.0,1879.52,17542.19,17542.19
75,2414,8,192,2025-09-11,2025-09-18,2025-09-21,3,3,2,Booking.com,Confirmed,Standard,5161.52,0.15,2322.68,1579.43,14741.3,14741.3
76,3938,2,45,2025-12-12,2025-12-26,2025-12-27,1,2,1,Corporate,Completed,Deluxe,8146.19,0.0,0.0,977.54,9123.73,9123.73
77,8096,18,459,2024-10-08,2024-10-29,2024-11-01,3,2,0,Direct,Completed,Deluxe,6413.45,0.15,2886.05,1962.52,18316.81,18316.81
78,9877,10,244,2025-05-07,2025-05-09,2025-05-13,4,2,0,Website,No-show,Standard,5346.97,0.0,0.0,2566.55,23954.43,0.0
79,3885,15,380,2026-01-02,2026-01-04,2026-01-08,4,2,1,Website,Confirmed,Standard,3741.57,0.1,1496.63,1616.36,15086.01,15086.01
80,2755,3,81,2025-03-24,2025-03-31,2025-04-02,2,2,0,Corporate,Completed,Standard,4801.71,0.0,0.0,1152.41,10755.83,10755.83
81,5777,4,103,2024-11-20,2024-11-22,2024-11-24,2,2,1,Goibibo,Completed,Standard,4367.91,0.0,0.0,1048.3,9784.12,9784.12
82,1720,13,333,2024-06-03,2024-06-13,2024-06-14,1,4,0,Expedia,Confirmed,Standard,4970.98,0.0,0.0,596.52,5567.5,5567.5
83,260,20,516,2026-06-13,2026-07-28,2026-07-29,1,2,1,Corporate,Completed,Standard,3754.62,0.0,0.0,450.55,4205.17,4205.17
84,5025,2,42,2024-06-26,2024-06-27,2024-07-01,4,1,1,Direct,Completed,Standard,4990.58,0.05,998.12,2275.7,21239.91,21239.91
85,6408,17,435,2024-04-30,2024-05-07,2024-05-08,1,2,0,Website,Completed,Standard,4277.21,0.05,213.86,487.6,4550.95,4550.95
86,7226,20,499,2025-06-10,2025-06-11,2025-06-13,2,2,0,Booking.com,Completed,Deluxe,5329.97,0.0,0.0,1279.19,11939.13,11939.13
87,4379,18,456,2025-03-24,2025-05-08,2025-05-09,1,2,0,MakeMyTrip,Completed,Standard,4902.57,0.05,245.13,558.89,5216.33,5216.33
88,3097,11,280,2026-01-29,2026-02-01,2026-02-02,1,4,0,Website,Confirmed,Deluxe,4370.9,0.05,218.54,498.28,4650.64,4650.64
89,844,4,110,2025-08-24,2025-09-23,2025-09-26,3,2,2,Expedia,Completed,Deluxe,6213.9,0.05,932.08,2125.15,19834.77,19834.77
90,6565,17,439,2025-07-10,2025-07-11,2025-07-15,4,2,1,MakeMyTrip,Confirmed,Suite,10200.51,0.0,0.0,4896.24,45698.28,45698.28
91,9782,12,290,2025-04-22,2025-04-29,2025-04-30,1,1,1,Direct,Completed,Standard,5684.89,0.05,284.24,648.08,6048.72,6048.72
92,9563,15,378,2025-11-28,2025-12-05,2025-12-06,1,2,0,Walk-in,Completed,Deluxe,5373.69,0.1,537.37,580.36,5416.68,5416.68
93,3928,18,449,2025-01-05,2025-01-19,2025-01-23,4,4,0,Goibibo,Completed,Deluxe,5896.06,0.0,0.0,2830.11,26414.35,26414.35
94,8848,5,120,2024-05-28,2024-06-04,2024-06-10,6,2,0,Corporate,Completed,Deluxe,5187.7,0.0,0.0,3735.14,34861.34,34861.34
95,9676,15,374,2024-04-19,2024-04-22,2024-04-25,3,3,1,Direct,Confirmed,Executive,6145.14,0.0,0.0,2212.25,20647.67,20647.67
96,8526,1,8,2024-03-11,2024-03-18,2024-03-20,2,2,1,MakeMyTrip,No-show,Executive,6788.06,0.05,678.81,1547.68,14444.99,0.0
97,2947,16,392,2025-09-08,2025-09-29,2025-10-04,5,2,0,Direct,Completed,Standard,3346.37,0.1,1673.18,1807.04,16865.7,16865.7
98,4048,7,158,2024-09-16,2024-09-26,2024-10-01,5,2,0,Website,Completed,Standard,3499.75,0.1,1749.88,1889.87,17638.74,17638.74
99,7735,7,159,2024-12-04,2024-12-25,2024-12-26,1,2,0,Booking.com,Confirmed,Standard,3522.36,0.1,352.24,380.41,3550.54,3550.54
100,9608,2,54,2024-01-09,2024-01-11,2024-01-13,2,2,0,Booking.com,Cancelled,Standard,5074.82,0.0,0.0,1217.96,11367.6,0.0
101,2715,2,52,2025-03-26,2025-04-09,2025-04-13,4,1,1,Booking.com,Confirmed,Deluxe,6941.43,0.1,2776.57,2998.7,27987.85,27987.85
102,4206,4,95,2025-06-25,2025-06-28,2025-06-30,2,2,0,Website,Completed,Deluxe,6801.01,0.0,0.0,1632.24,15234.26,15234.26
103,6853,9,213,2024-07-07,2024-07-09,2024-07-14,5,2,2,MakeMyTrip,Completed,Deluxe,5999.29,0.0,0.0,3599.57,33596.02,33596.02
104,6547,9,229,2026-05-03,2026-05-06,2026-05-09,3,4,0,Corporate,Completed,Standard,4142.49,0.05,621.37,1416.73,13222.83,13222.83
105,7034,7,172,2025-06-09,2025-06-23,2025-06-27,4,2,0,Website,No-show,Standard,3508.4,0.05,701.68,1599.83,14931.75,0.0
106,3451,14,346,2024-08-14,2024-08-19,2024-08-21,2,2,0,Direct,Completed,Executive,7143.06,0.0,0.0,1714.33,16000.45,16000.45
107,3819,16,394,2024-06-24,2024-08-23,2024-08-25,2,2,0,Booking.com,No-show,Standard,3532.48,0.0,0.0,847.8,7912.76,0.0
108,2798,17,425,2025-02-01,2025-02-03,2025-02-06,3,2,0,Expedia,Completed,Deluxe,5733.16,0.1,1719.95,1857.54,17337.08,17337.08
109,7906,4,93,2024-01-08,2024-01-15,2024-01-22,7,2,0,Expedia,Completed,Deluxe,5695.0,0.2,7973.0,3827.04,35719.04,35719.04
110,2920,1,23,2025-11-29,2025-12-09,2025-12-12,3,2,0,Expedia,Completed,Deluxe,5350.08,0.0,0.0,1926.03,17976.27,17976.27
111,786,9,233,2025-08-28,2025-08-30,2025-09-06,7,1,0,MakeMyTrip,Completed,Standard,4488.89,0.05,1571.11,3582.13,33433.25,33433.25
112,8462,10,246,2025-04-11,2025-05-02,2025-05-04,2,2,0,Expedia,Completed,Standard,4859.84,0.1,971.97,1049.73,9797.44,9797.44
113,5140,3,71,2025-02-26,2025-03-12,2025-03-13,1,1,0,Goibibo,Cancelled,Deluxe,7047.83,0.0,0.0,845.74,7893.57,0.0
114,8463,13,324,2026-02-11,2026-04-12,2026-04-14,2,2,1,Direct,Cancelled,Executive,9654.26,0.0,0.0,2317.02,21625.54,0.0
115,895,14,363,2026-04-10,2026-04-13,2026-04-15,2,2,1,Website,Completed,Deluxe,5706.64,0.0,0.0,1369.59,12782.87,12782.87
116,9238,11,284,2026-01-07,2026-03-08,2026-03-10,2,3,1,Goibibo,Completed,Suite,8677.16,0.0,0.0,2082.52,19436.84,19436.84
117,4674,17,423,2024-06-25,2024-08-09,2024-08-11,2,2,0,Corporate,Completed,Executive,6596.07,0.1,1319.21,1424.75,13297.68,13297.68
118,5893,6,140,2024-09-01,2024-09-02,2024-09-05,3,2,2,Goibibo,Completed,Standard,4060.11,0.0,0.0,1461.64,13641.97,13641.97
119,7689,7,169,2024-05-25,2024-06-01,2024-06-03,2,3,0,MakeMyTrip,Confirmed,Standard,3385.77,0.0,0.0,812.58,7584.12,7584.12
120,9910,3,64,2026-06-30,2026-07-05,2026-07-10,5,2,2,MakeMyTrip,Completed,Deluxe,6747.18,0.0,0.0,4048.31,37784.21,37784.21
121,961,10,247,2024-03-04,2024-03-11,2024-03-12,1,3,0,Direct,Completed,Deluxe,6181.47,0.0,0.0,741.78,6923.25,6923.25
122,6326,8,207,2024-06-12,2024-06-19,2024-06-20,1,3,0,Booking.com,Completed,Standard,5310.25,0.05,265.51,605.37,5650.11,5650.11
123,4229,5,125,2025-01-13,2025-01-23,2025-01-27,4,2,0,Website,Completed,Executive,6555.12,0.0,0.0,3146.46,29366.94,29366.94
124,4665,2,30,2024-10-30,2024-11-13,2024-11-16,3,2,1,Walk-in,Completed,Standard,5034.68,0.0,0.0,1812.48,16916.52,16916.52
125,1769,11,272,2024-04-01,2024-04-03,2024-04-05,2,3,0,Expedia,Completed,Standard,3068.06,0.0,0.0,736.33,6872.45,6872.45
126,5856,5,131,2025-11-26,2025-11-29,2025-12-02,3,2,0,Goibibo,Completed,Deluxe,4988.03,0.0,0.0,1795.69,16759.78,16759.78
127,3205,20,502,2025-11-09,2025-11-12,2025-11-13,1,3,0,Walk-in,Completed,Standard,4078.25,0.0,0.0,489.39,4567.64,4567.64
128,2898,17,426,2024-11-17,2024-12-01,2024-12-05,4,3,0,Website,Completed,Standard,4511.22,0.0,0.0,2165.39,20210.27,20210.27
129,3992,8,191,2025-01-18,2025-01-23,2025-01-24,1,2,0,Booking.com,Completed,Executive,9574.88,0.0,0.0,1148.99,10723.87,10723.87
130,7324,17,435,2024-02-25,2024-03-06,2024-03-10,4,2,0,MakeMyTrip,Completed,Standard,4277.21,0.0,0.0,2053.06,19161.9,19161.9
131,5168,13,327,2025-01-01,2025-01-06,2025-01-07,1,1,0,Direct,Cancelled,Executive,9233.6,0.0,0.0,1108.03,10341.63,0.0
132,9521,14,363,2024-07-18,2024-07-28,2024-07-31,3,3,0,Direct,Completed,Deluxe,5706.64,0.1,1711.99,1848.95,17256.88,17256.88
133,8112,12,294,2026-02-26,2026-03-03,2026-03-06,3,4,0,Website,No-show,Executive,10236.08,0.1,3070.82,3316.49,30953.91,0.0
134,7785,8,181,2026-03-29,2026-04-12,2026-04-13,1,2,0,Booking.com,Completed,Standard,5598.91,0.1,559.89,604.68,5643.7,5643.7
135,7787,9,236,2024-12-31,2025-01-01,2025-01-06,5,1,1,Expedia,Completed,Executive,7545.11,0.0,0.0,4527.07,42252.62,42252.62
136,5610,10,252,2026-03-04,2026-03-07,2026-03-08,1,2,2,Direct,Confirmed,Deluxe,7009.95,0.05,350.5,799.13,7458.59,7458.59
137,6490,19,488,2025-01-21,2025-02-04,2025-02-07,3,2,2,Website,Confirmed,Deluxe,6140.97,0.05,921.15,2100.21,19601.98,19601.98
138,9568,17,425,2024-06-02,2024-06-16,2024-06-20,4,3,0,Corporate,Completed,Deluxe,5733.16,0.0,0.0,2751.92,25684.56,25684.56
139,8251,19,474,2024-03-30,2024-04-06,2024-04-11,5,2,0,Direct,Completed,Standard,4156.11,0.0,0.0,2493.67,23274.22,23274.22
140,9411,12,300,2025-07-22,2025-07-25,2025-07-30,5,3,1,Expedia,Confirmed,Executive,9481.04,0.0,0.0,5688.62,53093.82,53093.82
141,9593,17,433,2024-04-21,2024-04-22,2024-04-27,5,3,0,Goibibo,Completed,Deluxe,5876.21,0.0,0.0,3525.73,32906.78,32906.78
142,1076,4,88,2024-05-21,2024-05-22,2024-05-23,1,2,0,Website,Cancelled,Standard,4672.02,0.1,467.2,504.58,4709.4,0.0
143,9420,13,344,2024-07-08,2024-07-22,2024-07-24,2,3,0,Booking.com,Completed,Standard,4634.43,0.15,1390.33,945.42,8823.95,8823.95
144,465,16,397,2025-07-06,2025-07-11,2025-07-15,4,2,0,Direct,Completed,Standard,3833.57,0.1,1533.43,1656.1,15456.95,15456.95
145,4572,3,82,2025-07-26,2025-08-02,2025-08-03,1,4,0,Website,Completed,Standard,5402.16,0.0,0.0,648.26,6050.42,6050.42
146,1889,4,110,2024-03-31,2024-04-07,2024-04-08,1,4,0,Website,Completed,Deluxe,6213.9,0.0,0.0,745.67,6959.57,6959.57
147,7550,9,224,2026-03-28,2026-04-27,2026-04-29,2,1,2,Goibibo,Completed,Deluxe,6467.38,0.0,0.0,1552.17,14486.93,14486.93
148,2544,19,488,2026-01-28,2026-01-30,2026-02-02,3,1,0,Corporate,Completed,Deluxe,6140.97,0.1,1842.29,1989.67,18570.29,18570.29
149,5698,16,393,2026-01-04,2026-01-05,2026-01-10,5,2,0,Booking.com,Cancelled,Deluxe,5265.14,0.0,0.0,3159.08,29484.78,0.0
150,917,20,496,2026-02-04,2026-02-14,2026-02-15,1,1,0,Goibibo,Completed,Standard,4272.4,0.0,0.0,512.69,4785.09,4785.09
151,2132,12,302,2025-12-19,2025-12-26,2025-12-28,2,2,0,Expedia,Completed,Standard,5103.29,0.1,1020.66,1102.31,10288.23,10288.23
152,6215,9,218,2025-06-08,2025-08-07,2025-08-14,7,2,1,Goibibo,Cancelled,Suite,12412.2,0.05,4344.27,9904.94,92446.07,0.0
153,1882,1,10,2024-06-28,2024-07-03,2024-07-05,2,2,1,Booking.com,Completed,Standard,4206.19,0.05,420.62,959.01,8950.77,8950.77
154,9468,13,341,2025-02-10,2025-02-13,2025-02-15,2,2,0,Direct,Completed,Standard,5011.56,0.05,501.16,1142.64,10664.6,10664.6
155,3620,15,390,2024-07-29,2024-07-31,2024-08-03,3,3,0,Website,Completed,Executive,7109.74,0.0,0.0,2559.51,23888.73,23888.73
156,690,8,182,2024-02-21,2024-02-23,2024-02-29,6,1,0,Expedia,Completed,Standard,5944.57,0.05,1783.37,4066.09,37950.13,37950.13
157,5531,3,79,2026-02-01,2026-02-03,2026-02-06,3,1,0,Booking.com,Completed,Standard,5397.66,0.15,2428.95,1651.68,15415.72,15415.72
158,2693,9,221,2024-02-08,2024-03-09,2024-03-10,1,2,0,Website,Completed,Deluxe,6253.52,0.1,625.35,675.38,6303.55,6303.55
159,7829,8,203,2025-11-17,2025-11-18,2025-11-25,7,1,1,Corporate,Completed,Deluxe,8011.88,0.0,0.0,6729.98,62813.14,62813.14
160,4388,10,243,2024-06-04,2024-07-19,2024-07-21,2,2,2,Direct,No-show,Suite,12947.46,0.0,0.0,3107.39,29002.31,0.0
161,1343,2,37,2024-04-04,2024-04-09,2024-04-12,3,2,0,Corporate,Completed,Deluxe,7302.36,0.0,0.0,2628.85,24535.93,24535.93
162,7456,16,407,2026-06-20,2026-06-23,2026-06-25,2,3,1,Goibibo,Completed,Standard,3354.07,0.2,1341.63,643.98,6010.49,6010.49
163,6839,1,9,2024-07-04,2024-07-05,2024-07-06,1,2,0,Direct,Completed,Standard,4361.95,0.0,0.0,523.43,4885.38,4885.38
164,3735,8,187,2025-10-22,2025-11-05,2025-11-08,3,2,0,Booking.com,Completed,Deluxe,7170.7,0.0,0.0,2581.45,24093.55,24093.55
165,648,6,136,2026-05-01,2026-05-06,2026-05-07,1,2,0,Booking.com,Completed,Standard,3416.63,0.05,170.83,389.5,3635.29,3635.29
166,9213,5,113,2026-05-28,2026-06-04,2026-06-07,3,2,0,Website,Completed,Executive,6704.43,0.05,1005.66,2292.92,21400.54,21400.54
167,4767,1,4,2024-12-22,2024-12-23,2024-12-29,6,2,0,Goibibo,Completed,Executive,7524.4,0.0,0.0,5417.57,50563.97,50563.97
168,7060,6,150,2025-06-13,2025-06-14,2025-06-17,3,2,0,Website,Completed,Standard,4047.71,0.05,607.16,1384.32,12920.29,12920.29
169,8123,1,6,2024-12-01,2025-01-15,2025-01-18,3,2,0,Direct,Confirmed,Standard,3748.25,0.0,0.0,1349.37,12594.12,12594.12
170,1578,16,395,2025-07-27,2025-07-28,2025-07-30,2,3,1,Booking.com,Completed,Standard,3664.03,0.15,1099.21,747.46,6976.31,6976.31
171,2381,14,356,2024-07-30,2024-09-28,2024-09-29,1,1,2,Walk-in,Completed,Deluxe,5616.72,0.15,842.51,572.91,5347.12,5347.12
172,1260,6,139,2025-11-11,2025-12-26,2025-12-29,3,2,1,Website,Confirmed,Executive,6742.08,0.0,0.0,2427.15,22653.39,22653.39
173,5358,8,207,2024-11-17,2024-12-08,2024-12-10,2,2,1,MakeMyTrip,Completed,Standard,5310.25,0.0,0.0,1274.46,11894.96,11894.96
174,2503,3,65,2025-10-23,2025-10-28,2025-10-31,3,2,0,Booking.com,No-show,Standard,4563.26,0.0,0.0,1642.77,15332.55,0.0
175,500,12,308,2024-10-05,2024-10-10,2024-10-12,2,2,0,Booking.com,Completed,Suite,14778.2,0.0,0.0,3546.77,33103.17,33103.17
176,2372,13,318,2025-03-18,2025-03-21,2025-03-26,5,3,0,Goibibo,Completed,Executive,9642.13,0.1,4821.06,5206.75,48596.34,48596.34
177,3405,17,437,2025-12-21,2025-12-23,2025-12-26,3,1,0,Direct,Completed,Standard,3918.07,0.1,1175.42,1269.45,11848.24,11848.24
