room_id,hotel_id,room_number,room_type,price_per_night,status
94,4,009,Deluxe,6260.47,Available
95,4,010,Deluxe,6801.01,Available
96,4,011,Standard,4871.57,Available
97,4,012,Standard,4212.18,Available
98,4,013,Suite,12272.75,Available
99,4,014,Standard,4299.43,Available
100,4,015,Standard,4645.29,Available
101,4,016,Deluxe,5936.68,Maintenance
102,4,017,Deluxe,6277.51,Available
103,4,018,Standard,4367.91,Available
104,4,019,Executive,7268.17,Available
105,4,020,Standard,4177.47,Available
106,4,021,Deluxe,6177.92,Available
107,4,022,Deluxe,6177.05,Available
108,4,023,Standard,4506.62,Available
109,4,024,Deluxe,5645.27,Available
110,4,025,Deluxe,6213.9,Available
111,4,026,Deluxe,5791.36,Available
112,4,027,Deluxe,5621.93,Available
113,5,001,Executive,6704.43,Available
114,5,002,Standard,3930.29,Available
115,5,003,Deluxe,5315.11,Available
116,5,004,Standard,3532.73,Available
117,5,005,Standard,3358.83,Available
118,5,006,Standard,3815.23,Available
119,5,007,Deluxe,4835.78,Available
120,5,008,Deluxe,5187.7,Available
121,5,009,Suite,8397.49,Available
122,5,010,Suite,9338.75,Available
123,5,011,Deluxe,5070.85,Available
124,5,012,Standard,3515.01,Available
125,5,013,Executive,6555.12,Available
126,5,014,Deluxe,5234.67,Available
127,5,015,Standard,3725.4,Available
128,5,016,Standard,3550.25,Available
129,5,017,Standard,4039.32,Available
130,5,018,Standard,4038.03,Available
131,5,019,Deluxe,4988.03,Available
132,5,020,Standard,3775.81,Available
133,6,001,Executive,6852.59,Available
134,6,002,Standard,3695.87,Available
135,6,003,Deluxe,4936.59,Available
136,6,004,Standard,3416.63,Available
137,6,005,Executive,6628.09,Available
138,6,006,Standard,3848.72,Available
139,6,007,Executive,6742.08,Available
140,6,008,Standard,4060.11,Available
141,6,009,Standard,3931.47,Maintenance
142,6,010,Suite,9718.75,Available
143,6,011,Standard,3905.09,Available
144,6,012,Standard,4000.7,Available
145,6,013,Deluxe,4506.84,Available
146,6,014,Standard,3417.93,Available
147,6,015,Deluxe,5240.8,Available
148,6,016,Suite,9018.51,Available
149,6,017,Executive,6117.06,Maintenance
150,6,018,Standard,4047.71,Available
151,6,019,Executive,6510.87,Inactive
152,6,020,Standard,3739.85,Maintenance
153,6,021,Deluxe,5124.27,Available
154,6,022,Deluxe,5122.43,Available
155,7,001,Deluxe,5409.84,Maintenance
156,7,002,Standard,3621.95,Available
157,7,003,Standard,3455.56,Available
158,7,004,Standard,3499.75,Available
159,7,005,Standard,3522.36,Available
160,7,006,Standard,3537.02,Available
161,7,007,Deluxe,4766.19,Available
162,7,008,Standard,4025.99,Available
163,7,009,Deluxe,5413.76,Available
164,7,010,Executive,6541.81,Available
165,7,011,Standard,3905.43,Available
166,7,012,Suite,9021.97,Available
167,7,013,Standard,3943.58,Available
168,7,014,Standard,3357.25,Available
169,7,015,Standard,3385.77,Available
170,7,016,Deluxe,5244.66,Available
171,7,017,Deluxe,5220.89,Available
172,7,018,Standard,3508.4,Available
173,7,019,Standard,3533.3,Available
174,7,020,Executive,6807.81,Available
175,7,021,Standard,3346.42,Available
176,7,022,Deluxe,5326.04,Available
177,7,023,Executive,7081.03,Available
178,7,024,Executive,6591.49,Available
179,7,025,Standard,3910.65,Available
180,8,001,Standard,5100.01,Available
181,8,002,Standard,5598.91,Available
182,8,003,Standard,5944.57,Available
183,8,004,Deluxe,7846.22,Available
184,8,005,Deluxe,7963.11,Maintenance
185,8,006,Standard,5969.25,Available
186,8,007,Standard,5455.05,Inactive
187,8,008,Deluxe,7170.7,Available
188,8,009,Standard,5033.45,Available
189,8,010,Standard,5117.09,Available
190,8,011,Deluxe,6952.59,Available
191,8,012,Executive,9574.88,Available
192,8,013,Standard,5161.52,Available
193,8,014,Standard,5256.45,Available
194,8,015,Standard,5082.7,Available
195,8,016,Standard,5350.7,Available
196,8,017,Deluxe,6740.88,Available
197,8,018,Deluxe,6803.91,Available
198,8,019,Suite,12542.96,Available
199,8,020,Executive,10102.9,Available
200,8,021,Standard,5357.52,Available
201,8,022,Deluxe,7230.34,Available
202,8,023,Deluxe,6736.97,Available
203,8,024,Deluxe,8011.88,Available
204,8,025,Deluxe,6841.65,Available
205,8,026,Deluxe,7042.57,Available
206,8,027,Standard,4972.08,Available
207,8,028,Standard,5310.25,Available
208,8,029,Executive,9805.17,Available
209,8,030,Executive,9622.0,Available
210,9,001,Deluxe,6281.72,Available
211,9,002,Deluxe,6059.44,Available
212,9,003,Executive,8223.16,Available
213,9,004,Deluxe,5999.29,Available
214,9,005,Standard,4347.31,Available
215,9,006,Deluxe,6645.72,Available
216,9,007,Executive,7334.6,Available
217,9,008,Standard,4156.78,Available
218,9,009,Suite,12412.2,Available
219,9,010,Suite,10362.19,Maintenance
220,9,011,Deluxe,6486.84,Available
221,9,012,Deluxe,6253.52,Available
222,9,013,Executive,7575.17,Maintenance
223,9,014,Deluxe,5836.79,Available
224,9,015,Deluxe,6467.38,Available
225,9,016,Standard,4605.62,Available
226,9,017,Standard,4686.37,Available
227,9,018,Deluxe,6270.37,Available
228,9,019,Standard,4769.81,Available
229,9,020,Standard,4142.49,Available
230,9,021,Deluxe,6341.78,Available
231,9,022,Standard,4922.67,Available
232,9,023,Standard,4998.3,Inactive
233,9,024,Standard,4488.89,Available
234,9,025,Deluxe,5648.73,Available
235,9,026,Executive,8453.31,Available
236,9,027,Executive,7545.11,Available
237,9,028,Deluxe,6716.57,Available
238,9,029,Deluxe,6437.26,Available
239,9,030,Deluxe,6706.39,Available
240,10,001,Deluxe,6821.21,Available
241,10,002,Executive,8632.28,Available
242,10,003,Suite,12938.7,Available
243,10,004,Suite,12947.46,Available
244,10,005,Standard,5346.97,Available
245,10,006,Deluxe,7354.57,Available
246,10,007,Standard,4859.84,Available
247,10,008,Deluxe,6181.47,Available
248,10,009,Executive,9503.43,Available
249,10,010,Executive,8149.29,Available
250,10,011,Standard,4946.26,Available
251,10,012,Standard,4776.54,Available
252,10,013,Deluxe,7009.95,Available
253,10,014,Deluxe,6479.08,Available
254,10,015,Standard,5462.54,Available
255,10,016,Standard,5011.63,Maintenance
256,10,017,Standard,5137.09,Available
257,10,018,Deluxe,6160.44,Available
258,10,019,Suite,12789.46,Available
259,10,020,Suite,13148.28,Available
260,10,021,Deluxe,6963.01,Available
261,10,022,Deluxe,7409.76,Available
262,10,023,Deluxe,6290.15,Inactive
263,10,024,Executive,8174.09,Available
264,10,025,Executive,8870.8,Available
265,10,026,Standard,4600.31,Available
266,10,027,Executive,7961.94,Available
267,10,028,Standard,5087.77,Available
268,11,001,Deluxe,4370.68,Available
269,11,002,Deluxe,3977.57,Available
270,11,003,Standard,3300.46,Available
271,11,004,Standard,3127.46,Available
272,11,005,Standard,3068.06,Available
273,11,006,Deluxe,4804.79,Available
274,11,007,Deluxe,4703.95,Available
275,11,008,Standard,3119.74,Available
276,11,009,Standard,3202.41,Available
277,11,010,Standard,3229.35,Available
278,11,011,Standard,3468.77,Available
279,11,012,Standard,3389.14,Available
280,11,013,Deluxe,4370.9,Available
281,11,014,Executive,5235.89,Available
282,11,015,Standard,3414.61,Available
283,11,016,Executive,5717.73,Available
284,11,017,Suite,8677.16,Available
285,11,018,Standard,3283.62,Available
286,11,019,Standard,3253.58,Available
287,12,001,Executive,9006.2,Available
288,12,002,Standard,5059.39,Available
289,12,003,Deluxe,7953.21,Available
290,12,004,Standard,5684.89,Available
291,12,005,Standard,5935.97,Available
292,12,006,Standard,5178.67,Available
293,12,007,Standard,5591.35,Available
294,12,008,Executive,10236.08,Available
295,12,009,Standard,5367.66,Available
296,12,010,Standard,5636.56,Available
297,12,011,Deluxe,7330.15,Available
298,12,012,Suite,14474.92,Available
299,12,013,Executive,9600.81,Available
300,12,014,Executive,9481.04,Available
301,12,015,Standard,5545.8,Available
302,12,016,Standard,5103.29,Available
303,12,017,Suite,13820.65,Available
304,12,018,Standard,4970.23,Available
305,12,019,Standard,5584.17,Available
306,12,020,Deluxe,7649.86,Available
307,12,021,Standard,4962.1,Available
308,12,022,Suite,14778.2,Available
309,12,023,Deluxe,7670.08,Available
310,12,024,Suite,13526.62,Available
311,12,025,Deluxe,6752.24,Available
312,12,026,Deluxe,6805.46,Available
313,12,027,Standard,5378.23,Available
314,12,028,Standard,5740.95,Available
315,13,001,Suite,12364.04,Maintenance
316,13,002,Standard,5033.59,Available
317,13,003,Deluxe,6356.66,Available
318,13,004,Executive,9642.13,Available
319,13,005,Deluxe,6782.37,Available
320,13,006,Standard,4961.92,Available
321,13,007,Deluxe,6762.53,Available
322,13,008,Standard,4547.36,Maintenance
323,13,009,Standard,4649.12,Available
324,13,010,Executive,9654.26,Available
325,13,011,Deluxe,6846.54,Available
326,13,012,Suite,13277.44,Available
327,13,013,Executive,9233.6,Available
328,13,014,Suite,13643.49,Available
329,13,015,Deluxe,6206.1,Available
330,13,016,Standard,5139.15,Inactive
331,13,017,Deluxe,6780.97,Available
332,13,018,Standard,5283.33,Available
333,13,019,Standard,4970.98,Available
334,13,020,Deluxe,6210.58,Available
335,13,021,Deluxe,7014.59,Available
336,13,022,Standard,5111.28,Available
337,13,023,Executive,8890.99,Available
338,13,024,Standard,5123.15,Available
339,13,025,Deluxe,7037.92,Available
340,13,026,Deluxe,6717.72,Available
341,13,027,Standard,5011.56,Inactive
342,13,028,Standard,4732.33,Available
343,13,029,Suite,11539.33,Available
344,13,030,Standard,4634.43,Available
345,14,001,Deluxe,6021.21,Inactive
346,14,002,Executive,7143.06,Available
347,14,003,Deluxe,5309.8,Available
348,14,004,Standard,3973.41,Available
349,14,005,Standard,3769.94,Available
350,14,006,Suite,10225.13,Available
351,14,007,Deluxe,5286.8,Maintenance
352,14,008,Executive,6666.12,Available
353,14,009,Executive,7908.47,Available
354,14,010,Deluxe,5229.41,Inactive
355,14,011,Standard,4517.47,Available
356,14,012,Deluxe,5616.72,Available
357,14,013,Standard,3918.0,Available
358,14,014,Executive,7044.81,Available
359,14,015,Suite,11171.36,Available
360,14,016,Suite,9698.33,Available
361,14,017,Executive,7547.22,Available
362,14,018,Executive,6862.25,Available
363,14,019,Deluxe,5706.64,Available
364,14,020,Standard,4463.29,Available
365,14,021,Standard,4472.66,Maintenance
366,14,022,Executive,7712.07,Available
367,14,023,Deluxe,5139.72,Available
368,14,024,Standard,3950.6,Available
369,14,025,Deluxe,5133.06,Available
370,15,001,Executive,7111.46,Available
371,15,002,Executive,6495.82,Available
372,15,003,Deluxe,5156.95,Available
373,15,004,Executive,6777.91,Available
374,15,005,Executive,6145.14,Available
375,15,006,Standard,3577.17,Available
376,15,007,Suite,8520.79,Available
377,15,008,Standard,3982.41,Maintenance
378,15,009,Deluxe,5373.69,Available
379,15,010,Executive,6123.57,Available
380,15,011,Standard,3741.57,Available
381,15,012,Standard,3472.92,Available
382,15,013,Standard,3744.28,Available
383,15,014,Standard,3336.71,Available
384,15,015,Standard,3539.67,Available
385,15,016,Standard,3951.69,Available
386,15,017,Standard,3887.74,Available
387,15,018,Standard,3900.43,Maintenance
388,15,019,Standard,3900.53,Available
389,15,020,Deluxe,4553.36,Available
390,15,021,Executive,7109.74,Available
391,15,022,Standard,3809.2,Available
392,16,001,Standard,3346.37,Available
393,16,002,Deluxe,5265.14,Available
394,16,003,Standard,3532.48,Inactive
395,16,004,Standard,3664.03,Available
396,16,005,Executive,6725.82,Available
397,16,006,Standard,3833.57,Available
398,16,007,Standard,4033.64,Available
399,16,008,Standard,4028.28,Available
400,16,009,Deluxe,4892.7,Available
401,16,010,Suite,9082.27,Available
402,16,011,Standard,3487.7,Available
403,16,012,Deluxe,4863.66,Available
404,16,013,Deluxe,5462.73,Available
405,16,014,Executive,6833.19,Available
406,16,015,Executive,6813.03,Available
407,16,016,Standard,3354.07,Available
408,16,017,Deluxe,5291.24,Available
409,16,018,Standard,3422.64,Available
410,16,019,Standard,3478.39,Available
411,16,020,Standard,3760.66,Available
412,16,021,Executive,6229.42,Available
413,17,001,Deluxe,5804.7,Available
414,17,002,Suite,10835.42,Available
415,17,003,Executive,7919.97,Available
416,17,004,Deluxe,5881.69,Available
417,17,005,Standard,4208.85,Available
418,17,006,Deluxe,5277.95,Available
419,17,007,Executive,7903.4,Available
420,17,008,Deluxe,6031.13,Available
421,17,009,Executive,7055.96,Available
422,17,010,Suite,9754.28,Available
423,17,011,Executive,6596.07,Available
424,17,012,Suite,9595.26,Available
425,17,013,Deluxe,5733.16,Available
426,17,014,Standard,4511.22,Maintenance
427,17,015,Deluxe,5920.08,Available
428,17,016,Deluxe,5782.7,Available
429,17,017,Deluxe,5920.53,Available
430,17,018,Standard,3871.12,Available
431,17,019,Deluxe,5707.02,Available
432,17,020,Deluxe,5732.19,Available
433,17,021,Deluxe,5876.21,Available
434,17,022,Standard,3771.24,Available
435,17,023,Standard,4277.21,Available
436,17,024,Deluxe,5594.97,Available
437,17,025,Standard,3918.07,Available
438,17,026,Standard,4432.58,Available
439,17,027,Suite,10200.51,Available
440,17,028,Deluxe,5866.21,Available
441,17,029,Deluxe,5651.02,Available
442,18,001,Standard,4807.24,Available
443,18,002,Executive,8695.13,Available
444,18,003,Standard,4684.96,Available
445,18,004,Standard,4713.13,Available
446,18,005,Deluxe,5752.41,Available
447,18,006,Suite,10763.27,Available
448,18,007,Suite,10766.25,Available
449,18,008,Deluxe,5896.06,Available
450,18,009,Standard,4613.63,Available
451,18,010,Deluxe,5792.1,Available
452,18,011,Suite,10943.71,Available
453,18,012,Standard,4851.6,Available
454,18,013,Suite,11393.72,Available
455,18,014,Standard,4296.18,Available
456,18,015,Standard,4902.57,Available
457,18,016,Standard,4707.77,Available
458,18,017,Standard,4294.21,Available
459,18,018,Deluxe,6413.45,Available
460,18,019,Executive,8542.13,Available
461,18,020,Executive,7576.4,Available
462,18,021,Standard,4192.52,Available
463,18,022,Suite,10440.49,Available
464,18,023,Deluxe,6748.87,Available
465,18,024,Deluxe,5640.63,Available
466,19,001,Deluxe,6440.97,Available
467,19,002,Standard,5035.25,Available
468,19,003,Standard,4619.99,Available
469,19,004,Deluxe,5745.17,Available
470,19,005,Standard,5004.63,Available
471,19,006,Standard,4313.28,Available
472,19,007,Standard,4355.8,Maintenance
473,19,008,Standard,4748.7,Maintenance
474,19,009,Standard,4156.11,Available
475,19,010,Executive,8637.02,Available
476,19,011,Standard,4871.87,Available
477,19,012,Deluxe,6757.57,Available
478,19,013,Deluxe,6305.86,Available
479,19,014,Standard,4696.56,Available
480,19,015,Executive,8844.27,Available
481,19,016,Standard,4405.59,Available
482,19,017,Deluxe,6539.37,Available
483,19,018,Standard,4969.27,Available
484,19,019,Standard,4939.39,Available
485,19,020,Standard,4737.15,Available
486,19,021,Deluxe,6346.41,Available
487,19,022,Standard,4644.62,Available
488,19,023,Deluxe,6140.97,Available
489,19,024,Deluxe,5798.21,Available
490,19,025,Executive,8050.72,Available
491,19,026,Suite,12298.48,Available
492,19,027,Executive,7420.36,Available
493,19,028,Deluxe,5894.62,Available
494,20,001,Executive,7717.11,Available
495,20,002,Suite,9375.33,Available
496,20,003,Standard,4272.4,Available
497,20,004,Standard,4504.44,Available
498,20,005,Suite,10067.12,Available
499,20,006,Deluxe,5329.97,Available
500,20,007,Standard,4401.51,Available
501,20,008,Standard,4241.58,Available
502,20,009,Standard,4078.25,Available
503,20,010,Standard,4300.33,Available
504,20,011,Deluxe,5836.74,Available
505,20,012,Deluxe,5329.73,Maintenance
506,20,013,Deluxe,5945.36,Available
507,20,014,Standard,4260.52,Maintenance
508,20,015,Deluxe,5960.15,Available
509,20,016,Standard,3911.0,Available
510,20,017,Standard,4432.08,Available
511,20,018,Standard,3931.6,Available
512,20,019,Standard,4417.77,Available
513,20,020,Deluxe,5149.3,Available
514,20,021,Deluxe,5699.54,Available
515,20,022,Deluxe,6009.01,Available
516,20,023,Standard,3754.62,Available
517,20,024,Deluxe,5654.82,Available
